Question,Reponse,Skill,Level
Comment faire une jointure en SQL ?,"En SQL une jointure combine des lignes de deux tables ou plus basées sur une condition commune entre elles Les types de jointures incluent INNER JOIN LEFT JOIN etc.",SQL,Moyen
Qu'est-ce que NoSQL?,NoSQL est une approche de conception de bases de données qui ne suit pas les modèles de base de données relationnelles traditionnels.,NoSQL,Intermédiaire
Qu'est-ce que MongoDB et pour quoi est-il utilisé ?,"MongoDB est une base de données NoSQL orientée documents utilisée pour stocker des données semi-structurées sous forme de documents JSON.",MongoDB,Facile
Comment effectuer des requêtes en MongoDB ?,"En MongoDB les requêtes se font en utilisant des méthodes comme find() qui permet de rechercher des documents dans une collection.",MongoDB,Moyen
Qu'est-ce que PostgreSQL?,PostgreSQL est un système de gestion de base de données relationnelle open source et un SGBD.,PostgreSQL,Avancé
Qu'est-ce que Flask et comment l'installer ?,"Flask est un framework web léger pour Python. Vous pouvez l'installer en utilisant pip la commande 'pip install Flask' Une fois installé vous pouvez créer une application Flask en important la classe Flask et définir des routes pour gérer les requêtes HTTP.",Flask,Difficile
Comment créer un projet Spring Boot à l'aide de Spring Initializr ?,"Vous pouvez créer un projet Spring Boot en utilisant Spring Initializr un outil en ligne fourni par Spring Vous spécifiez les dépendances et les paramètres de votre projet puis vous téléchargez le projet généré qui est prêt à être importé dans votre IDE.",SpringBoot,Difficile
Quelle est la différence entre Spring Boot et Spring MVC ?,"Spring Boot est un framework qui simplifie le démarrage et le développement d'applications Spring tandis que Spring MVC est un sous-projet de Spring Framework qui fournit un modèle MVC (Modèle-Vue-Contrôleur) pour la création d'applications web Java Spring Boot peut être utilisé avec Spring MVC pour créer des applications web.",SpringBoot,Difficile
Qu'est-ce que Laravel?,Laravel est un framework PHP open source pour le développement web basé sur le modèle MVC (Modèle-Vue-Contrôleur).,Laravel,Intermédiaire
Qu'est-ce que Ruby on Rails?,"Ruby on Rails, souvent abrégé Rails, est un framework de développement d'applications web open source écrit en Ruby.",Ruby on Rails,Avancé
Qu'est-ce que ASP.NET?,ASP.NET est un framework web développé par Microsoft pour la construction d'applications web dynamiques.,ASP.NET,Intermédiaire
Qu'est-ce que Next.js?,Next.js est un framework JavaScript open source pour le développement d'applications web basées sur React.,Next.js,Intermédiaire
Qu'est-ce que Nuxt.js?,Nuxt.js est un framework JavaScript open source pour le développement d'applications web basées sur Vue.js.,Nuxt.js,Débutant
Qu'est-ce que Svelte?,Svelte est un framework JavaScript open source pour la construction d'interfaces utilisateur réactives.,Svelte,Intermédiaire
